"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:58:30.616","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808777,1808764,0
"Nov 1, 2023 @ 23:58:20.533","hostname -f","/usr/bin/hostname","""/""",1808763,672,0
"Nov 1, 2023 @ 23:57:40.435","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808751,1808749,0
"Nov 1, 2023 @ 23:57:40.435","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808757,1808756,0
"Nov 1, 2023 @ 23:57:40.435","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808749,500,0
"Nov 1, 2023 @ 23:57:40.435","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808753,1808749,0
"Nov 1, 2023 @ 23:57:40.435","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808760,1808749,0
"Nov 1, 2023 @ 23:57:40.435","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808762,1808749,0
"Nov 1, 2023 @ 23:57:40.435","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808750,1808749,0
"Nov 1, 2023 @ 23:57:40.435","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808759,1808749,0
"Nov 1, 2023 @ 23:57:40.435","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808754,1808753,0
"Nov 1, 2023 @ 23:57:40.435","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808761,1808749,0
"Nov 1, 2023 @ 23:57:40.435","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808758,1808756,0
"Nov 1, 2023 @ 23:57:20.329","hostname -f","/usr/bin/hostname","""/""",1808748,672,0
"Nov 1, 2023 @ 23:57:00.288","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808743,1808741,0
"Nov 1, 2023 @ 23:57:00.288","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808747,1808734,0
"Nov 1, 2023 @ 23:57:00.288","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808735,1808734,0
"Nov 1, 2023 @ 23:57:00.288","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808734,500,0
"Nov 1, 2023 @ 23:57:00.288","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808738,1808734,0
"Nov 1, 2023 @ 23:57:00.288","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808739,1808738,0
"Nov 1, 2023 @ 23:57:00.288","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808742,1808741,0
"Nov 1, 2023 @ 23:57:00.288","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808745,1808734,0
"Nov 1, 2023 @ 23:57:00.288","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808736,1808734,0
"Nov 1, 2023 @ 23:57:00.288","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808746,1808734,0
"Nov 1, 2023 @ 23:57:00.288","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808744,1808734,0
"Nov 1, 2023 @ 23:56:20.245","hostname -f","/usr/bin/hostname","""/""",1808732,672,0
"Nov 1, 2023 @ 23:56:10.139","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808722,1808718,0
"Nov 1, 2023 @ 23:56:10.139","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808726,1808725,0
"Nov 1, 2023 @ 23:56:10.139","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808728,1808718,0
"Nov 1, 2023 @ 23:56:10.139","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808729,1808718,0
"Nov 1, 2023 @ 23:56:10.139","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808731,1808718,0
"Nov 1, 2023 @ 23:56:10.139","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808723,1808722,0
"Nov 1, 2023 @ 23:56:10.139","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808727,1808725,0
